30-12-2014 18:56 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:57 - [server_room]   Humidity:41.84,          Temperature:17.36;
30-12-2014 18:57 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:57 - [server_room]   Humidity:41.84,          Temperature:17.36;
30-12-2014 18:57 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:58 - [server_room]   Humidity:42.37,          Temperature:17.36;
30-12-2014 18:58 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:58 - [server_room]   Humidity:42.37,          Temperature:17.36;
30-12-2014 18:58 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:59 - [server_room]   Humidity:41.86,          Temperature:17.52;
30-12-2014 18:59 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 19:00 - [server_room]   Humidity:41.87,          Temperature:17.52;
30-12-2014 19:00 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 19:01 - [server_room]   Humidity:41.35,          Temperature:17.68;
30-12-2014 19:01 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 19:01 - [server_room]   Humidity:41.35,          Temperature:17.68;
30-12-2014 19:01 - [garden]   Humidity:23.06,          Temperature:24.04;
30-12-2014 19:02 - [server_room]   Humidity:40.87,          Temperature:18.00;
30-12-2014 19:02 - [garden]   Humidity:23.05,          Temperature:24.04;
30-12-2014 19:02 - [server_room]   Humidity:40.87,          Temperature:18.07;
30-12-2014 19:02 - [garden]   Humidity:23.06,          Temperature:24.04;
30-12-2014 19:03 - [server_room]   Humidity:40.87,          Temperature:18.16;
30-12-2014 19:03 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:03 - [server_room]   Humidity:40.35,          Temperature:18.16;
30-12-2014 19:03 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:04 - [server_room]   Humidity:40.36,          Temperature:18.24;
30-12-2014 19:04 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:04 - [server_room]   Humidity:40.35,          Temperature:18.20;
30-12-2014 19:04 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:05 - [server_room]   Humidity:41.37,          Temperature:17.72;
30-12-2014 19:05 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:05 - [server_room]   Humidity:41.36,          Temperature:17.72;
30-12-2014 19:05 - [garden]   Humidity:23.05,          Temperature:24.08;
30-12-2014 19:06 - [server_room]   Humidity:41.35,          Temperature:17.64;
30-12-2014 19:06 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 19:07 - [server_room]   Humidity:41.35,          Temperature:17.60;
30-12-2014 19:07 - [garden]   Humidity:23.06,          Temperature:24.04;
30-12-2014 19:08 - [server_room]   Humidity:41.37,          Temperature:17.72;
30-12-2014 19:08 - [garden]   Humidity:23.06,          Temperature:24.00;
30-12-2014 19:08 - [server_room]   Humidity:41.36,          Temperature:17.72;
30-12-2014 19:08 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:09 - [server_room]   Humidity:41.36,          Temperature:17.72;
30-12-2014 19:09 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:09 - [server_room]   Humidity:41.36,          Temperature:17.75;
30-12-2014 19:09 - [garden]   Humidity:23.05,          Temperature:24.00;
